address,label,category
0xd882cfc20f52f2599d84b8e8d58c7fb62cfe344b,Tornado Cash Router,mixer
0x722122df12d4e14e13ac3b6895a86e84145b6967,Tornado Cash Proxy,mixer
0x905b63fff465b9ffbf41dea908ceb12478ec7601,Tornado Cash,mixer
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,Tornado Cash,mixer
0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,Tornado Cash,mixer
0xa160cdab225685da1d56aa342ad8841c3b53f291,Tornado Cash,mixer
0xfd8610d20aa15b7b2e3be39b396a1bc3516c7144,Tornado Cash,mixer
0x07687e702b410fa43f4cb4af7fa097918ffd2730,Tornado Cash,mixer
0x23773e65ed146a459667303b6cb96f98602735bf,Tornado Cash,mixer
0x22aaa7720ddd5388a3c0a3333430953c68f1849b,Tornado Cash,mixer
0x03893a7c7463ae47d46bc7f091665f1893656003,Tornado Cash,mixer
0x2717c5e28cf931547b621a5dddb772ab6a35b701,Tornado Cash,mixer
0xd21be7248e0197ee08e0c20d4a96debdac3d20af,Tornado Cash,mixer
0x4736dcf1b7a3d580672cce6e7c65cd5cc9cfba9d,Tornado Cash,mixer
0xd4b88df4d29f5cedd6857912842cff3b20c8cfa3,Tornado Cash,mixer
0x8589427373d6d84e98730d7795d8f6f8731fda16,Tornado Cash,mixer
0xbb93e510bbcd0b7beb5a853875f9ec60275cf498,Sinbad Mixer,mixer
0x1da5821544e25c636c1417ba96ade4cf6d2f9b5a,Lazarus Group,sanctioned
0x7f367cc41522ce07553e823bf3be79a889debe1b,Lazarus Group,sanctioned
0xd882cfc20f52f2599d84b8e8d58c7fb62cfe344b,OFAC SDN,sanctioned
0x901bb9583b24d97e995513c6778dc6888ab6870e,Phishing,scam
0xa7e5d5a720f06526557c513402f2e6b5fa20b008,Phishing,scam
0x8576acc5c05d6ce88f4e49bf65bdf0c62f91353c,Phishing,scam
